recall,precision,threshold
1.0,0.24,4.33764420500686e-19
1.0,0.24324324324324326,6.345081301733642e-06
0.9722222222222222,0.2413793103448276,6.279257849654333e-05
0.9444444444444444,0.2361111111111111,0.0006210998238678773
0.9444444444444444,0.24285714285714285,0.9813061417421782
0.9444444444444444,0.25,0.9968495438921903
0.9444444444444444,0.2518518518518518,0.9997873725515194
0.9444444444444444,0.25757575757575757,0.9999997491365159
0.9166666666666666,0.2578125,0.999999997199376
0.9166666666666666,0.25984251968503935,0.9999999999901781
0.9166666666666666,0.2619047619047619,0.9999999999938056
0.9166666666666666,0.264,0.9999999999987277
0.9166666666666666,0.2661290322580645,0.9999999999999754
0.8888888888888888,0.27350427350427353,0.9999999999999918
0.8888888888888888,0.27586206896551724,0.9999999999999998
0.8611111111111112,0.28440366972477066,1.0
